time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-28T03:38:09.240Z,-7.4807,127.8452,167.73,4.3,mb,,54,3.458,1.11,us,us70003d97,2019-04-28T04:29:32.040Z,"277km ENE of Dili, East Timor",earthquake,9.7,8.6,0.126,18,reviewed,us,us
2019-04-28T03:26:20.530Z,19.3316667,-155.1055,6.88,4.24,ml,63,152,0.05072,0.1,hv,hv70927626,2019-04-30T02:40:25.908Z,"16km SE of Volcano, Hawaii",earthquake,0.3,0.25,0.189,54,reviewed,hv,hv
2019-04-28T03:19:18.222Z,-25.9005,-71.2038,10,4.2,mb,,194,0.597,0.96,us,us70003d8u,2019-04-28T03:55:19.040Z,"91km SW of Taltal, Chile",earthquake,3.6,1.9,0.237,5,reviewed,us,us
2019-04-28T01:56:54.423Z,33.8626,90.56,10,4.1,mb,,117,4.175,1.13,us,us70003d8f,2019-04-28T02:48:00.040Z,"173km WSW of Tanggulashan, China",earthquake,7.8,2,0.144,13,reviewed,us,us
2019-04-28T00:58:50.412Z,61.3991,-149.9347,40.4,4,ml,,,,0.69,ak,ak0195f5rhn0,2019-04-30T14:19:40.766Z,"16km N of Anchorage, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-04-28T00:49:34.806Z,51.5763,159.928,10,4.5,mb,,157,1.648,0.85,us,us70003d79,2019-04-28T03:59:37.040Z,"183km SE of Vilyuchinsk, Russia",earthquake,7.5,1.9,0.072,57,reviewed,us,us
2019-04-28T00:33:13.787Z,51.4809,159.8764,10,4.6,mb,,85,1.719,1.23,us,us70003d7a,2019-04-28T03:19:14.040Z,"190km SSE of Vilyuchinsk, Russia",earthquake,8.6,1.9,0.069,62,reviewed,us,us
2019-04-28T00:31:15.634Z,51.5326,160.0347,10,4.5,mb,,166,1.718,1,us,us70003d71,2019-04-28T00:53:25.040Z,"191km SE of Vilyuchinsk, Russia",earthquake,7.5,1.9,0.07,61,reviewed,us,us
2019-04-28T00:20:41.016Z,-21.2899,-174.5881,10,5.1,mb,,127,7.813,1.01,us,us70003d6u,2019-04-28T00:40:27.040Z,"37km E of `Ohonua, Tonga",earthquake,12.4,1.9,0.044,169,reviewed,us,us
2019-04-28T00:02:18.393Z,51.4826,159.7096,10,4.2,mb,,168,1.675,0.7,us,us70003d6j,2019-04-28T00:28:09.040Z,"184km SSE of Vilyuchinsk, Russia",earthquake,8.7,1.9,0.136,15,reviewed,us,us
2019-04-27T23:25:57.907Z,37.5832,20.6777,10,4.3,mb,,140,1.072,0.85,us,us70003d5r,2019-04-28T21:13:15.493Z,"20km SW of Mouzaki, Greece",earthquake,6.3,1.9,0.169,10,reviewed,us,us
2019-04-27T22:50:02.168Z,-30.2455,-71.4225,61.42,4,mb,,127,0.362,0.86,us,us70003d59,2019-04-28T20:01:31.300Z,"33km SSW of Coquimbo, Chile",earthquake,5.6,4.2,0.368,2,reviewed,us,us
2019-04-27T21:55:23.270Z,19.5003,-68.3155,40,3.1,md,7,346,0.9885,0.27,pr,pr2019117010,2019-04-28T02:55:21.040Z,"70km NNE of Otra Banda, Dominican Republic",earthquake,6.49,22.16,0.15,3,reviewed,pr,pr
2019-04-27T20:27:39.428Z,39.1771,97.3578,21.62,5.1,mww,,29,10.853,0.82,us,us70003d40,2019-04-27T20:45:25.040Z,"79km SSW of Laojunmiao, China",earthquake,8.6,5,0.086,13,reviewed,us,us
